Spectrum title              ,             M-5-3
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
605           ,             104
606           ,             85
607           ,             88
608           ,             86
609           ,             99
610           ,             95
611           ,             86
612           ,             92
613           ,             91
614           ,             92
615           ,             97
616           ,             95
617           ,             91
618           ,             82
619           ,             99
620           ,             106
621           ,             92
622           ,             95
623           ,             96
624           ,             95
625           ,             98
626           ,             82
627           ,             87
628           ,             99
629           ,             96
630           ,             88
631           ,             91
632           ,             83
633           ,             88
634           ,             84
635           ,             83
636           ,             71
637           ,             88
638           ,             94
639           ,             83
640           ,             89
641           ,             71
642           ,             99
643           ,             85
644           ,             82
645           ,             81
646           ,             82
647           ,             78
648           ,             97
649           ,             82
650           ,             77
651           ,             105
652           ,             88
653           ,             82
654           ,             84
655           ,             96
656           ,             78
657           ,             82
658           ,             77
659           ,             72
660           ,             99
661           ,             68
662           ,             100
663           ,             63
664           ,             86
665           ,             84
666           ,             82
667           ,             78
668           ,             78
669           ,             60
670           ,             68
671           ,             103
672           ,             75
673           ,             59
674           ,             74
675           ,             72
676           ,             64
677           ,             65
678           ,             75
679           ,             62
680           ,             70
681           ,             55
682           ,             79
683           ,             61
684           ,             75
685           ,             72
686           ,             61
687           ,             50
688           ,             63
689           ,             61
690           ,             51
691           ,             61
692           ,             60
693           ,             67
694           ,             62
695           ,             58
696           ,             50
697           ,             62
698           ,             56
699           ,             67
700           ,             53
701           ,             63
702           ,             57
703           ,             53
704           ,             48
705           ,             51
706           ,             35
707           ,             57
708           ,             56
709           ,             52
710           ,             68
711           ,             59
712           ,             74
713           ,             50
714           ,             44
715           ,             35
716           ,             56
717           ,             45
718           ,             49
719           ,             42
720           ,             50
721           ,             57
722           ,             43
723           ,             29
724           ,             42
725           ,             49
726           ,             30
727           ,             41
728           ,             51
729           ,             30
730           ,             31
731           ,             36
732           ,             38
733           ,             40
734           ,             37
735           ,             23
736           ,             29
737           ,             49
738           ,             34
739           ,             38
740           ,             37
741           ,             40
742           ,             33
743           ,             26
744           ,             35
745           ,             22
746           ,             24
747           ,             42
748           ,             27
749           ,             32
750           ,             26
751           ,             23
752           ,             38
753           ,             31
754           ,             30
755           ,             31
756           ,             20
757           ,             26
758           ,             34
759           ,             33
760           ,             25
761           ,             18
762           ,             30
763           ,             30
764           ,             27
765           ,             33
766           ,             41
767           ,             32
768           ,             38
769           ,             26
770           ,             31
771           ,             31
772           ,             25
773           ,             39
774           ,             33
775           ,             30
776           ,             29
777           ,             32
778           ,             31
779           ,             27
780           ,             22
781           ,             33
782           ,             35
783           ,             34
784           ,             26
785           ,             35
786           ,             32
787           ,             24
788           ,             21
789           ,             22
790           ,             35
791           ,             29
792           ,             25
793           ,             21
794           ,             31
795           ,             28
796           ,             32
797           ,             30
798           ,             24
799           ,             26
800           ,             22
801           ,             20
802           ,             26
803           ,             25
804           ,             20
805           ,             23
806           ,             31
807           ,             26
808           ,             30
809           ,             15
810           ,             25
811           ,             34
812           ,             16
813           ,             23
814           ,             17
815           ,             28
816           ,             20
817           ,             17
818           ,             28
819           ,             26
820           ,             22
821           ,             32
822           ,             20
823           ,             18
824           ,             22
825           ,             19
826           ,             27
827           ,             16
828           ,             27
829           ,             23
830           ,             16
831           ,             14
832           ,             20
833           ,             22
834           ,             22
835           ,             24
836           ,             23
837           ,             28
838           ,             21
839           ,             19
840           ,             14
841           ,             20
842           ,             17
843           ,             21
844           ,             19
845           ,             20
846           ,             15
847           ,             10
848           ,             19
849           ,             24
850           ,             15
851           ,             24
852           ,             16
853           ,             19
854           ,             9
855           ,             18
856           ,             13
857           ,             15
858           ,             17
859           ,             12
860           ,             20
861           ,             9
862           ,             7
